"","transpo_mode","highest_education","travel_time","household_income","monthly_housing_total","PUMA"
"415","Railroad","Bachelor's degree",60,57400,520,"03305"
"416","Car, truck, or van","Regular high school diploma",90,106900,260,"00304"
"417","Car, truck, or van","Regular high school diploma",15,106900,260,"00304"
"418","Car, truck, or van","Bachelor's degree",30,69000,1100,"04903"
"419","Car, truck, or van","Regular high school diploma",17,69000,1100,"04903"
"420","Car, truck, or van","Bachelor's degree",35,208000,1900,"01400"
"421","Car, truck, or van","Master's degree",35,208000,1900,"01400"
"422","Car, truck, or van","Master's degree",20,2e+05,390,"00702"
"423","Walked","Professional degree beyond a bachelor's degree",5,28000,1400,"00200"
"424","Car, truck, or van","Bachelor's degree",10,2e+05,4000,"03500"
"425","Car, truck, or van","Regular high school diploma",30,1e+05,2800,"00703"
"426","Subway or elevated","Associate's degree",50,1e+05,2800,"00703"
"427","Subway or elevated","Professional degree beyond a bachelor's degree",45,235000,2000,"00507"
"428","Car, truck, or van","Bachelor's degree",30,235000,2000,"00507"
"429","Car, truck, or van","Bachelor's degree",22,86000,1200,"00400"
"430","Car, truck, or van","Grade 11",17,86000,1200,"00400"
"431","Walked","Bachelor's degree",15,90000,1700,"03603"
"432","Car, truck, or van","Regular high school diploma",15,230000,1700,"00704"
"433","Car, truck, or van","Regular high school diploma",15,230000,1700,"00704"
"434","Car, truck, or van","Regular high school diploma",20,69000,2000,"04000"
"435","Car, truck, or van","Regular high school diploma",30,30000,1200,"00704"
"436","Railroad","Bachelor's degree",75,2e+05,3800,"01400"
"437","Car, truck, or van","Bachelor's degree",40,214000,2300,"03400"
"438","Car, truck, or van","Master's degree",15,100050,1900,"03900"
"439","Car, truck, or van","Regular high school diploma",20,100050,1900,"03900"
"440","Car, truck, or van","Associate's degree",30,145000,1800,"00302"
"441","Car, truck, or van","Regular high school diploma",50,145000,1800,"00302"
"442","Car, truck, or van","Some college, but less than 1 year",30,68600,950,"01900"
"443","Car, truck, or van","Some college, but less than 1 year",15,68600,950,"01900"
"444","Car, truck, or van","Master's degree",30,720500,2600,"01400"
"445","Car, truck, or van","Master's degree",5,720500,2600,"01400"
"446","Car, truck, or van","Bachelor's degree",30,295000,4300,"01300"
"447","Subway or elevated","Master's degree",60,126000,2900,"03900"
"448","Car, truck, or van","Bachelor's degree",15,126000,2900,"03900"
"449","Car, truck, or van","Regular high school diploma",90,1e+05,1200,"04500"
"450","Car, truck, or van","Master's degree",60,5400,1600,"00703"
"451","Car, truck, or van","Bachelor's degree",45,111000,730,"00703"
"452","Other method","Master's degree",10,635000,2800,"03301"
"453","Car, truck, or van","Regular high school diploma",15,79800,1600,"04500"
"454","Car, truck, or van","Regular high school diploma",15,79800,1600,"04500"
"455","Car, truck, or van","Grade 3",60,129800,2100,"00704"
"456","Car, truck, or van","Regular high school diploma",45,78200,1600,"04000"
"457","Car, truck, or van","Regular high school diploma",15,78200,1600,"04000"
"458","Car, truck, or van","Master's degree",60,272050,2100,"01300"
"459","Car, truck, or van","Bachelor's degree",10,272050,2100,"01300"
"460","Car, truck, or van","Bachelor's degree",20,156000,2700,"00400"
"461","Car, truck, or van","Regular high school diploma",20,156000,2700,"00400"
"462","Car, truck, or van","Professional degree beyond a bachelor's degree",20,68000,1400,"00303"
"463","Car, truck, or van","Professional degree beyond a bachelor's degree",15,68000,1400,"00303"
"464","Walked","Bachelor's degree",50,44300,800,"03304"
"465","Car, truck, or van","Doctorate degree",60,58040,1500,"03400"
"466","Car, truck, or van","Some college, but less than 1 year",20,1e+05,1300,"00502"
"467","Car, truck, or van","Bachelor's degree",20,1e+05,1300,"00502"
"468","Car, truck, or van","Professional degree beyond a bachelor's degree",75,164660,2000,"04301"
"469","Car, truck, or van","Bachelor's degree",35,164660,2000,"04301"
"470","Car, truck, or van","Professional degree beyond a bachelor's degree",25,115000,1000,"04500"
"471","Railroad","Bachelor's degree",60,119000,1100,"04901"
"472","Car, truck, or van","Bachelor's degree",20,119000,1100,"04901"
"473","Car, truck, or van","Master's degree",20,119000,3100,"03500"
"474","Car, truck, or van","Bachelor's degree",35,32000,750,"01600"
"475","Car, truck, or van","Regular high school diploma",60,162000,1350,"00702"
"476","Car, truck, or van","Regular high school diploma",5,162000,1350,"00702"
"477","Car, truck, or van","Grade 10",5,162000,1350,"00702"
"478","Car, truck, or van","Professional degree beyond a bachelor's degree",90,210800,1100,"00702"
"479","Car, truck, or van","Bachelor's degree",20,210800,1100,"00702"
"480","Car, truck, or van","1 or more years of college credit, no degree",5,85000,1200,"00300"
"481","Car, truck, or van","Regular high school diploma",5,85000,1200,"00300"
"482","Subway or elevated","Doctorate degree",30,161000,2000,"03305"
"483","Car, truck, or van","Regular high school diploma",5,121000,800,"00200"
"484","Car, truck, or van","Regular high school diploma",5,121000,800,"00200"
"485","Car, truck, or van","GED or alternative credential",10,121000,800,"00200"
"486","Car, truck, or van","Regular high school diploma",30,121000,800,"00200"
"487","Car, truck, or van","Bachelor's degree",30,152900,370,"00703"
"488","Car, truck, or van","Regular high school diploma",25,85000,1300,"00701"
"489","Car, truck, or van","1 or more years of college credit, no degree",25,85000,1300,"00701"
"490","Car, truck, or van","Master's degree",20,1e+05,3000,"03400"
"491","Car, truck, or van","Grade 4",30,56000,1000,"04000"
"492","Car, truck, or van","Regular high school diploma",15,56000,1000,"04000"
"493","Car, truck, or van","1 or more years of college credit, no degree",10,56000,1000,"04000"
"494","Car, truck, or van","Bachelor's degree",15,160000,1100,"00300"
"495","Car, truck, or van","1 or more years of college credit, no degree",144,160000,1100,"00300"
"496","Car, truck, or van","Regular high school diploma",60,160000,1100,"00300"
"497","Car, truck, or van","Regular high school diploma",30,160000,1100,"00300"
"498","Car, truck, or van","Grade 11",3,88000,1400,"03305"
"499","Subway or elevated","Grade 10",20,88000,1400,"03305"
"500","Car, truck, or van","Grade 11",5,94100,2370,"04500"
"501","Car, truck, or van","No schooling completed",5,94100,2370,"04500"
"502","Car, truck, or van","Bachelor's degree",15,269320,3200,"00300"
"503","Car, truck, or van","Bachelor's degree",10,70000,2000,"03303"
"504","Car, truck, or van","Associate's degree",10,70000,2000,"03303"
"505","Bus or trolley bus","Regular high school diploma",20,45000,1300,"00200"
"506","Bus or trolley bus","Regular high school diploma",20,45000,1300,"00200"
"507","Car, truck, or van","1 or more years of college credit, no degree",30,50760,930,"00505"
"508","Car, truck, or van","Bachelor's degree",45,124700,2200,"00703"
"509","Car, truck, or van","Master's degree",35,350000,2400,"02800"
"510","Railroad","Bachelor's degree",144,350000,2400,"02800"
"511","Car, truck, or van","Bachelor's degree",50,146730,1300,"04901"
"512","Car, truck, or van","Associate's degree",10,146730,1300,"04901"
"513","Car, truck, or van","Regular high school diploma",15,65000,1600,"00200"
"514","Car, truck, or van","Regular high school diploma",15,65000,1600,"00200"
"515","Car, truck, or van","Master's degree",35,130000,1500,"03303"
"516","Car, truck, or van","Bachelor's degree",20,130000,1500,"03303"
"517","Car, truck, or van","1 or more years of college credit, no degree",15,142300,1070,"00100"
"518","Car, truck, or van","1 or more years of college credit, no degree",20,142300,1070,"00100"
"519","Car, truck, or van","Bachelor's degree",20,660000,2800,"04200"
"520","Car, truck, or van","Bachelor's degree",30,660000,2800,"04200"
"521","Car, truck, or van","Bachelor's degree",15,77000,1300,"01900"
"522","Car, truck, or van","1 or more years of college credit, no degree",60,77000,1300,"01900"
"523","Walked","Regular high school diploma",10,108500,3300,"03302"
"524","Car, truck, or van","Master's degree",45,18000,640,"01902"
"525","Walked","1 or more years of college credit, no degree",25,285000,6200,"03302"
"526","Walked","Doctorate degree",15,285000,6200,"03302"
"527","Car, truck, or van","Master's degree",5,95000,2000,"00502"
"528","Subway or elevated","Professional degree beyond a bachelor's degree",45,3e+05,4000,"03305"
"529","Subway or elevated","Master's degree",45,3e+05,4000,"03305"
"530","Car, truck, or van","Master's degree",10,88100,2200,"00508"
"531","Car, truck, or van","Master's degree",15,88100,2200,"00508"
"532","Car, truck, or van","Some college, but less than 1 year",20,47500,600,"03304"
"533","Car, truck, or van","Doctorate degree",30,192190,3200,"00702"
"534","Car, truck, or van","Master's degree",80,192190,3200,"00702"
"535","Car, truck, or van","Master's degree",60,153000,950,"00304"
"536","Walked","Doctorate degree",20,83000,2700,"03301"
"537","Walked","Master's degree",20,83000,2700,"03301"
"538","Walked","Bachelor's degree",20,83000,2700,"03301"
"539","Bus or trolley bus","Master's degree",45,54000,1800,"03301"
"540","Bicycle","Doctorate degree",10,93400,1900,"00506"
"541","Bicycle","Doctorate degree",20,93400,1900,"00506"
"542","Car, truck, or van","Bachelor's degree",10,451500,2100,"00303"
"543","Car, truck, or van","Associate's degree",15,451500,2100,"00303"
"544","Car, truck, or van","Some college, but less than 1 year",20,80100,1800,"00504"
"545","Car, truck, or van","Bachelor's degree",90,80100,1800,"00504"
"546","Walked","Bachelor's degree",25,93300,1600,"00507"
"547","Car, truck, or van","Master's degree",70,154000,2400,"00504"
"548","Car, truck, or van","No schooling completed",15,72000,650,"04500"
"549","Car, truck, or van","Grade 7",5,72000,650,"04500"
"550","Car, truck, or van","GED or alternative credential",5,72000,650,"04500"
"551","Bus or trolley bus","Bachelor's degree",30,30000,1300,"03305"
"552","Car, truck, or van","Doctorate degree",30,159600,7100,"03602"
"553","Car, truck, or van","Bachelor's degree",30,159600,7100,"03602"
"554","Car, truck, or van","No schooling completed",58,25000,1500,"00507"
"555","Car, truck, or van","1 or more years of college credit, no degree",10,146000,2540,"04301"
"556","Car, truck, or van","Bachelor's degree",10,146000,2540,"04301"
"557","Car, truck, or van","1 or more years of college credit, no degree",15,212000,2000,"04200"
"558","Car, truck, or van","Bachelor's degree",30,212000,2000,"04200"
"559","Car, truck, or van","1 or more years of college credit, no degree",15,52000,1200,"01400"
"560","Car, truck, or van","Master's degree",12,222100,2100,"00302"
"561","Car, truck, or van","Regular high school diploma",5,222100,2100,"00302"
"562","Car, truck, or van","Some college, but less than 1 year",15,100900,800,"00703"
"563","Car, truck, or van","Regular high school diploma",20,100900,800,"00703"
"564","Car, truck, or van","Associate's degree",35,97960,1680,"04302"
"565","Car, truck, or van","Bachelor's degree",35,4e+05,2300,"03302"
"566","Car, truck, or van","Associate's degree",15,4e+05,2300,"03302"
"567","Car, truck, or van","Master's degree",45,323000,4800,"03500"
"568","Car, truck, or van","Master's degree",60,323000,4800,"03500"
"569","Car, truck, or van","Bachelor's degree",5,88420,1900,"02800"
"570","Car, truck, or van","Bachelor's degree",5,207000,3200,"03602"
"571","Car, truck, or van","Professional degree beyond a bachelor's degree",20,207000,3200,"03602"
"572","Car, truck, or van","Regular high school diploma",8,94400,1800,"00501"
"573","Car, truck, or van","Bachelor's degree",30,94400,1800,"00501"
"574","Car, truck, or van","Bachelor's degree",30,94400,1800,"00501"
"575","Car, truck, or van","Bachelor's degree",7,56000,2800,"03500"
"576","Car, truck, or van","Bachelor's degree",25,95000,2200,"03303"
"577","Car, truck, or van","Some college, but less than 1 year",45,130800,1900,"04903"
"578","Car, truck, or van","Regular high school diploma",20,130800,1900,"04903"
"579","Car, truck, or van","Bachelor's degree",60,214000,2700,"00704"
"580","Car, truck, or van","Master's degree",10,188000,2700,"01400"
"581","Car, truck, or van","Bachelor's degree",45,188000,2700,"01400"
"582","Car, truck, or van","Bachelor's degree",10,91550,1200,"00303"
"583","Other method","Regular high school diploma",10,91550,1200,"00303"
"584","Car, truck, or van","Some college, but less than 1 year",10,91550,1200,"00303"
"585","Car, truck, or van","1 or more years of college credit, no degree",12,91550,1200,"00303"
"586","Other method","Regular high school diploma",10,91550,1200,"00303"
"587","Car, truck, or van","Bachelor's degree",15,308000,2300,"02400"
"588","Subway or elevated","Master's degree",60,308000,2300,"02400"
"589","Car, truck, or van","Doctorate degree",60,230100,3100,"01300"
"590","Car, truck, or van","Bachelor's degree",30,230100,3100,"01300"
"591","Bus or trolley bus","Doctorate degree",30,105000,1900,"00507"
"592","Car, truck, or van","Master's degree",15,5000,820,"01901"
"593","Car, truck, or van","Some college, but less than 1 year",115,50000,1200,"00302"
"594","Car, truck, or van","Bachelor's degree",20,63000,900,"04700"
"595","Car, truck, or van","Master's degree",30,169000,2700,"03301"
"596","Car, truck, or van","Master's degree",20,169000,2700,"03301"
"597","Car, truck, or van","Bachelor's degree",30,169000,2700,"03301"
"598","Car, truck, or van","Bachelor's degree",30,50000,840,"00303"
"599","Walked","1 or more years of college credit, no degree",5,50000,840,"00303"
"600","Car, truck, or van","Associate's degree",10,84930,700,"00501"
"601","Car, truck, or van","GED or alternative credential",5,84930,700,"00501"
"602","Car, truck, or van","Doctorate degree",10,102000,1600,"00200"
"603","Car, truck, or van","GED or alternative credential",35,122000,1700,"01902"
"604","Car, truck, or van","Associate's degree",30,122000,1700,"01902"
"605","Car, truck, or van","Regular high school diploma",30,122000,1700,"01902"
